"Geno","Location","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"3041-1","Heavy",54.3306538013964,54.7096105228223,141750.408897545,17.510829418788,11.6218137481747,21.4012417583407,0.390527899785144,8.60658089632676,70.0700271623066,35.5287866017618,70.3791785410764
"3041-1","Light",39.645759993436,28.9792107586335,91311.9976055532,15.7301934557088,10.864599036177,19.5358809447041,0.351171534174954,6.74274397919426,72.5013463637223,27.8679703813684,60.9996396970375
"3041-3","Heavy",36.9818110954329,59.1470305247226,198250.279131702,15.2218772248497,11.3357461726474,24.3082322185785,0.289927692812645,6.96454617825587,68.3238126691346,27.3014832873778,57.5048561234941
"3041-3","Light",51.5958706828156,33.9616459132105,109758.227143423,14.2676846575351,12.2751021576823,25.0779588398222,0.321442135059444,8.26852771689271,66.8417340325144,34.4450350326174,66.0787039410172
"3042-2","Light",44.8207500314335,24.5718343213543,53347.226255547,16.4068427835988,11.2094431960862,20.4421700178798,0.429292132177224,7.32806590723635,71.3227154218306,30.4851589318967,61.9209531443958
"3043-2","Heavy",37.6318968265253,70.4193401754727,254827.770776365,14.1859566311546,11.6524493041931,23.2381390053916,0.296567336062946,7.12155714748339,68.8100032113417,28.2496671234349,56.3078554178768
"3043-2","Light",58.1808164024366,39.9052711534497,191839.760785641,13.361655689413,12.4842044640328,24.1140877494998,0.253878221326695,8.94082216795193,67.3275625501667,37.2964039719516,70.3370697053773
"3043-3","Heavy",69.2717281781081,25.7861080429053,90425.760183442,13.6759191471375,12.9974922469171,24.1828334542777,0.256588705146608,10.4019111635297,66.7661651526984,43.5989840941214,75.0296459102919
"3043-3","Light",48.8084709394199,45.83149536581,132041.559423293,15.4134422662306,12.1166987729118,25.6037098329223,0.347047452748851,7.9603856352112,66.5080376327853,33.1525088801635,63.568820132298
"3043-8","Heavy",46.3428791501902,49.2240274286379,153655.239436517,13.3017429569783,11.971034056827,26.7222336940852,0.297279163398753,7.99611511538221,65.7918456848932,32.6195727880267,63.1116122341401
"3043-8","Light",52.6498679394754,61.3027177017452,166961.992452749,14.5815614597825,12.5372772715856,23.9556527450023,0.357052390476517,8.44082912298292,67.6141634548482,35.2846007546171,64.874143662662
"BADILLA","Heavy",74.295813333638,23.470595277799,57181.4107699591,24.833630064196,15.1839259509413,17.36119270662,0.396798860049315,11.5273020358495,70.3136716782269,48.0479960503022,73.516012861282
"BADILLA","Light",86.4709863091619,30.8706536336247,61821.9247209618,27.0948988127969,16.2928954390166,11.7347566153524,0.561681722631449,12.6747333943354,74.2555451855235,53.7785664220975,76.7164800087763
"CG 96-52","Light",118.572642482816,42.031575572172,85749.6035383349,15.8602144274324,19.8397049968937,13.7933597644557,0.599094162503018,16.7007572575263,69.3151920061743,72.0702508109578,82.9710102895134
"CHIN","Heavy",90.9149357746943,47.5770695458631,95842.4239324528,18.9618839470355,16.7965042464913,13.8994671672627,0.523419454952343,13.5341824878486,71.5327271482284,56.735960624983,77.9547653237539
"CHIN","Light",91.8623732408549,37.3101314587583,75940.3198471715,18.8510560603663,16.9821784120946,13.0505256517156,0.520970066662269,13.3821958499464,72.1445842750308,56.9293444799994,77.7196833324376
"CHINA","Heavy",90.5472781743205,13.6797225300266,53740.58792579,15.6793384366029,17.197706034471,17.1626384921801,0.247155811176505,13.6029557409385,68.9731383546738,57.4523097986199,76.8680992382419
"CHINA","Light",90.3140317059313,18.768831278105,66318.3190370678,14.3805146442008,16.8744196253213,17.6691478104476,0.255219522404665,13.2052018108635,68.9145080122229,56.1660711858948,77.0709903406204
"CHUKCHE","Heavy",93.546866518581,22.1001714712051,57166.2214129379,16.1468962636161,16.6633829536266,12.8831319929548,0.486071603520643,13.7798833776338,72.4157222556764,57.282359589843,80.128801421978
"CHUKCHE","Light",84.2134995812155,22.6616577261658,59081.7143578014,17.3788079622585,16.2368177882305,13.9097175275972,0.401350312368164,12.4462870254675,72.2200442099152,52.7680289110932,75.5235836280937
"CP52-068","Heavy",99.4979212843146,19.8744001231219,34752.7570334914,22.4600421795365,17.5909387026081,10.9753921401253,0.705279998964064,14.5596081595801,72.9548025429129,61.5722050198523,80.086343554283
"CP52-068","Light",124.43442065932,40.8424414217125,52080.6334837849,22.9801299270463,19.8773923231232,12.5261906493612,0.819140992539805,17.2514897889824,69.9806041063402,74.4432484743776,85.6033422483676
